intent,text
greeting,привет
greeting,здравствуйте
greeting,добрый день
greeting,добрый вечер
greeting,доброе утро
greeting,хай
greeting,хелло
greeting,приветик
greeting,здравствуй
greeting,доброго дня
greeting,приветствую
greeting,рад тебя видеть
greeting,ку
greeting,йо
greeting,hello
greeting,hi
greeting,привет бот
greeting,здравия желаю
greeting,добрый
greeting,доброго времени суток
greeting,прив
greeting,хеллоу
greeting,дарова
greeting,здорово
greeting,салют
greeting,здарова
greeting,здравствуйте вам
greeting,приветствую тебя
greeting,добрый денек
greeting,утро доброе
greeting,вечер добрый
greeting,день добрый
greeting,здравствуй бот
greeting,привет-привет
greeting,хай бот
farewell,пока
farewell,до свидания
farewell,увидимся
farewell,до встречи
farewell,прощай
farewell,бай
farewell,bye
farewell,увидимся позже
farewell,до скорого
farewell,всего хорошего
farewell,всего доброго
farewell,счастливо
farewell,покеда
farewell,адьос
farewell,до завтра
farewell,до вечера
farewell,спокойной ночи
farewell,прощайте
farewell,бай-бай
farewell,до связи
farewell,ну пока
farewell,ладно пока
farewell,я пошел
farewell,мне пора
farewell,до новых встреч
farewell,всего
farewell,удачи
farewell,до свид
farewell,до скорого времени
farewell,увидимся скоро
time,который час
time,сколько времени
time,сколько сейчас времени
time,время
time,текущее время
time,подскажи время
time,какой сейчас час
time,что по времени
time,время сейчас
time,сколько на часах
time,время пожалуйста
time,назови время
time,сколько времени сейчас
time,час сейчас
time,который сейчас час
time,точное время
time,дай время
time,время скажи
time,можешь сказать время
time,интересует время
time,хочу узнать время
time,покажи время
time,сколько времени?
time,сколько сейчас
time,время?
time,подскажи который час
time,время сейчас?
time,скажи который час
time,какое сейчас время
time,время в данный момент
date,какая сегодня дата
date,какая сейчас дата
date,сегодняшняя дата
date,дата сегодня
date,назови дату
date,какое сегодня число
date,какая дата сейчас
date,дата
date,подскажи дату
date,дата сегодня?
date,текущая дата
date,сегодня какая дата
date,интересует дата
date,можешь сказать дату
date,дата сейчас
date,число сегодня
date,какой сегодня день и дата
date,полная дата
date,дата пожалуйста
date,что за дата
date,сегодняшнее число
date,дата на сегодня
date,узнать дату
date,скажи дату
date,дата?
date,какое сегодня число и месяц
date,сегодня число
date,дата в данный момент
date,дата текущая
date,назови сегодняшнюю дату
day,какой сегодня день
day,какой сейчас день
day,день недели сегодня
day,что за день сегодня
day,сегодня день недели
day,какой день
day,день сейчас
day,какой сегодня день недели
day,подскажи день
day,день недели
day,какой сегодня
day,день недели сейчас
day,что за день
day,интересует день
day,день пожалуйста
day,назови день недели
day,сегодня какой день недели
day,день недели?
day,какой день сегодня?
day,день сейчас?
day,можешь сказать день
day,узнать день недели
day,сегодня день
day,день недели сегодня?
day,какой день в данный момент
day,сейчас какой день
day,день недели подскажи
day,день недели текущий
day,какой сегодня день недели?
day,день?
month,какой сегодня месяц
month,какой сейчас месяц
month,месяц сейчас
month,какой месяц
month,месяц сегодня
month,подскажи месяц
month,назови месяц
month,месяц
month,текущий месяц
month,сейчас месяц
month,какой месяц сейчас
month,месяц пожалуйста
month,интересует месяц
month,месяц?
month,сегодня месяц
month,какой сейчас месяц?
month,узнать месяц
month,месяц текущий
month,назови текущий месяц
month,месяц в данный момент
month,сейчас какой месяц
month,что за месяц
month,месяц сегодня?
month,подскажи текущий месяц
month,какой месяц на сегодня
month,месяц времени
month,месяц сейчас?
month,какой идет месяц
month,месяц года
month,месяц подскажи
year,какой сейчас год
year,какой сегодня год
year,год сейчас
year,назови год
year,какой год
year,год
year,текущий год
year,сейчас какой год
year,год сегодня
year,подскажи год
year,интересует год
year,год?
year,какой сейчас год?
year,узнать год
year,год текущий
year,назови текущий год
year,год в данный момент
year,что за год
year,сейчас год
year,какой идет год
year,год пожалуйста
year,год сегодня?
year,подскажи текущий год
year,какой год сейчас?
year,год времени
year,год подскажи
year,какой у нас год
year,текущий год сейчас
year,назови год сейчас
year,год на сегодня
math,2+2
math,3+5
math,10-3
math,7*8
math,9/3
math,5 + 6
math,12 - 4
math,6 * 7
math,8 / 2
math,15+5
math,20-10
math,9*9
math,16/4
math,2.5+3.1
math,7.2-2.2
math,3.5*2
math,10/4
math,100+200
math,50-25
math,8*12
math,144/12
math,1+1
math,2*3
math,9-1
math,6/3
math,4+4
math,11-6
math,3*3
math,18/6
math,7+8
name,меня зовут Иван
name,меня зовут Алексей
name,меня зовут Мария
name,меня зовут Ольга
name,меня зовут Сергей
name,меня зовут Анна
name,меня зовут Дмитрий
name,меня зовут Елена
name,меня зовут Павел
name,меня зовут Наталья
name,меня зовут Виктор
name,меня зовут Ирина
name,меня зовут Николай
name,меня зовут Татьяна
name,меня зовут Андрей
name,меня зовут Юлия
name,меня зовут Максим
name,меня зовут Ксения
name,меня зовут Артем
name,меня зовут Алина
name,меня зовут Роман
name,меня зовут Светлана
name,меня зовут Влад
name,меня зовут Дарья
name,меня зовут Кирилл
name,меня зовут Полина
name,меня зовут Егор
name,меня зовут Лиза
name,меня зовут Глеб
name,меня зовут Вика
